i,step,speed,pwm
253,12545951,0.20,-102.47,1580
254,12547950,0.20,-102.47,1580
255,12549951,0.20,-102.45,1580
256,12551951,0.20,-102.45,1580
257,12553951,0.20,-102.45,1580
258,12555950,0.20,-102.38,1580
259,12557951,0.20,-102.38,1580
260,12559950,0.20,-102.38,1580
261,12561951,0.20,-102.37,1580
262,12563951,0.20,-102.37,1580
263,12565950,0.20,-102.37,1580
264,12567951,0.20,-102.36,1580
265,12569951,0.20,-102.36,1580
266,12571951,0.20,-102.36,1580
267,12573950,0.20,-102.35,1580
268,12575951,0.20,-102.35,1580
269,12577951,0.20,-102.35,1580
270,12579950,0.20,-102.23,1580
271,12581951,0.20,-102.23,1580
272,12583951,0.20,-102.23,1580
273,12585950,0.20,-102.34,1580
274,12587951,0.20,-102.34,1580
275,12589951,0.20,-102.34,1580
276,12591950,0.20,-102.34,1580
277,12593951,0.20,-102.34,1580
278,12595951,0.20,-102.34,1580
279,12597950,0.20,-102.33,1580
280,12599951,0.20,-102.33,1580
281,12601950,0.20,-102.33,1580
282,12603951,0.20,-102.38,1580
283,12605951,0.20,-102.38,1580
284,12607950,0.20,-102.38,1580
285,12609951,0.20,-102.37,1580
286,12611950,0.20,-102.37,1580
287,12613951,0.20,-102.37,1580
288,12615951,0.20,-102.36,1580
289,12617951,0.20,-102.36,1580
290,12619951,0.20,-102.36,1580
291,12621950,0.20,-102.41,1580
292,12623951,0.20,-102.41,1580
293,12625950,0.20,-102.41,1580
294,12627951,0.20,-102.39,1580
295,12629951,0.20,-102.39,1580
296,12631950,0.20,-102.39,1580
297,12633951,0.20,-102.32,1580
298,12635950,0.20,-102.32,1580
299,12637951,0.20,-102.32,1580
300,12639951,0.20,-102.32,1580
301,12641951,0.20,-102.32,1580
302,12643950,0.20,-102.32,1580
303,12645951,0.20,-102.42,1580
304,12647951,0.20,-102.42,1580
305,12649951,0.20,-102.42,1580
306,12651950,0.20,-102.47,1580
307,12653951,0.20,-102.47,1580
308,12655951,0.20,-102.47,1580
309,12657950,0.20,-102.50,1580
310,12659951,0.20,-102.50,1580
311,12661951,0.20,-102.50,1580
312,12663950,0.20,-102.59,1580
313,12665951,0.20,-102.59,1580
314,12667950,0.20,-102.59,1580
315,12669951,0.20,-102.62,1580
316,12671951,0.20,-102.62,1580
317,12673950,0.20,-102.62,1580
318,12675951,0.20,-102.58,1580
319,12677951,0.20,-102.58,1580
320,12679950,0.20,-102.58,1580
321,12681951,0.20,-102.61,1580
322,12683951,0.20,-102.61,1580
323,12685951,0.20,-102.61,1580
324,12687950,0.20,-102.69,1580
325,12689951,0.20,-102.69,1580
326,12691950,0.20,-102.69,1580
327,12693951,0.20,-102.64,1580
328,12695951,0.20,-102.64,1580
329,12697950,0.20,-102.64,1580
330,12699951,0.20,-102.61,1580
331,12701951,0.20,-102.61,1580
332,12703951,0.20,-102.61,1580
333,12705950,0.20,-102.57,1580
334,12707951,0.20,-102.57,1580
335,12709951,0.20,-102.57,1580
336,12711950,0.20,-102.66,1580
337,12713950,0.20,-102.66,1580
338,12715951,0.20,-102.66,1580
339,12717951,0.20,-102.62,1580
340,12719950,0.20,-102.62,1580
341,12721951,0.20,-102.62,1580
