time,measured,predicted
0.176999,57.560307404334544,192.5334351023581
0.178,58.54705666853923,193.4545043115274
0.178999,60.0628310080976,194.37126549433606
0.18,60.79931791009189,195.28739600647322
0.180999,62.08987612350493,196.1992415915314
0.182,63.23663851469099,197.11045988752204
0.182999,63.66924466442262,198.01741623185882
0.184,65.27105020198167,198.92374865060026
0.184999,66.11443518367959,199.82584196992053
0.186,66.85874166681765,200.7273147090831
0.186999,67.54334750138258,201.6245710785255
0.188,68.14476275223001,202.52121019530966
0.188999,68.70077647782715,203.41365555020002
0.19,69.18644883068919,204.3054869620898
0.190999,69.63828394816011,205.1931470986907
0.192,70.64318555442468,206.08019658420278
0.192999,71.56354699987291,206.96309716045954
0.194,72.9889023011271,207.84539035988814
0.194999,74.90311207251493,208.72355689617024
0.196,76.6074908664659,209.6011193123286
0.196999,78.77405178119498,210.47457719216743
0.198,80.09133660382827,211.34743419112476
0.198999,82.52372294469646,212.21620866194735
0.2,84.07900065094672,213.08438547376204
0.200999,86.11262058669925,213.94850164762056
0.202,87.92200852870774,214.81202336706963
0.202999,90.18552767660077,215.6715062213679
0.204,92.20058490955266,216.53039780867198
0.204999,94.03624641909913,217.38527218688677
0.206,95.0532717774394,218.23955846843222
0.206999,96.60366460003871,219.0898490808317
0.208,97.97690814030847,219.93955474988763
0.208999,99.23493732650321,220.78528617424553
0.21,100.95806359413099,221.6304357916777
0.210999,101.91795723485733,222.47163247398385
0.212,103.37275151156177,223.31225046896486
0.212999,104.09122636049011,224.14893672413154
0.214,105.32869372457215,224.98504739484684
0.214999,105.85152435216476,225.81724740741186
0.216,106.91301191703933,226.64887492176183
0.216999,107.89162072541093,227.47661274658753
0.218,108.7490486529294,228.30378114288635
0.218999,109.54410378768618,229.1270807058549
0.22,110.23628340895651,229.9498138935254
0.220999,110.88256506809358,230.76869899223033
0.222,111.44094856130968,231.58702075249465
0.222999,111.9667637052003,232.40151505692887
0.224,112.41667733469687,233.21544904349662
0.224999,113.45916960126182,234.0255760967363
0.226,113.75984264114462,234.83514583648758
0.226999,114.05376837703805,235.64092905537296
0.228,114.2950315393401,236.44615794903888
0.228999,114.53543838541134,237.24762062485098
0.23,115.34146454688603,238.0485319476897
0.230999,115.47722809219982,238.8456972468237
0.232,116.80210528300091,239.64231414929344
0.232999,118.02021475471824,240.4352051139282
0.234,119.70372327926809,241.22755062235632
0.234999,121.86009095136626,242.01619017112046
0.236,124.99856185626234,242.80428718836902
0.236999,127.8538656706629,243.58869811700316
0.238,131.00598910362322,244.3725694231311
0.238999,133.87476019328273,245.15277440514728
0.24,137.0377241739761,245.9324426580685
0.240999,140.5316917566,246.70846424540525
0.242,143.64199258095724,247.483951981544
0.242999,147.08973332287871,248.25581260521795
0.244,150.15720999060463,249.02714224015995
0.244999,152.95342899155548,249.79486421091468
0.246,156.04751609241117,250.56205804005515
0.246999,159.4831244831813,251.32566354900575
0.248,161.92424203487036,252.0887437481939
0.248999,164.77217783139088,252.84825486746865
0.25,167.29728004825782,253.6072434936484
0.250999,170.22221204343833,254.36268217702667
0.252,172.8152908390995,255.11760116887478
0.252999,176.4168417551958,255.86898925242133
0.254,180.2293975796822,256.6198604309809
0.254999,184.9320678217206,257.3672196336776
0.256,189.11916103955386,258.11406470298925
0.256999,193.54706493560354,258.8574166273625
0.258,198.71150844204848,259.6002571750915
0.258999,203.40868759784797,260.33962330783675
0.26,208.81292883806768,261.078480805897
0.260999,213.72828595426458,261.8138825184997
0.262,219.32652735884187,262.5487783236747
0.262999,224.41894462296077,263.2802368730284
0.264,230.17418016066782,264.01119222758814
0.264999,234.79604214460332,264.73872875660834
0.266,240.12644793014536,265.4657647889236
0.266999,245.59570313713297,266.1894003271597
0.268,250.45912282342138,266.91253805231264
0.268999,255.50932054108085,267.63229351655485
0.27,259.99436848697405,268.3515538369466
0.270999,264.7053416382779,269.06745003183136
0.272,269.49674747445124,269.782853737786
0.272999,274.4858027270071,270.49491135639664
0.274,280.13800245430747,271.20647912676236
0.274999,284.6772422088775,271.91471875122807
0.276,289.92328798799053,272.6224711539747
0.276999,294.71240918919216,273.32691325606464
0.278,299.56791827027354,274.03087074887816
0.278999,304.6209964432468,274.7315356905938
0.28,309.09862679892257,275.43171862146784
0.280999,313.81284411903073,276.1286266556312
0.282,317.984269707128,276.82505526345506
0.282999,322.4241327364155,277.5182265342942
0.284,326.9603894627743,278.2109209494383
0.284999,331.73105051649713,278.9003754931693
0.286,335.9495954648476,279.5893557380663
0.286999,340.43554591836306,280.2751134834731
0.288,345.00960132652693,280.9603994731971
0.288999,349.2035711938744,281.64248024220706
0.29,353.51400407448705,282.3240917850491
0.290999,358.0859536670385,283.002515293306
0.292,362.7341083003348,283.6804720913469
0.292999,366.99824747030146,284.35525794878083
0.294,371.36796272327143,285.02957959846043
0.294999,375.3831164509444,285.70074730985465
0.296,379.52732480585,286.37145330253827
0.296999,383.9125823252651,287.039022268093
0.298,388.51570409273864,287.7061319906348
0.299,392.57261368346485,288.3707852677464
0.3,396.2669323151184,289.0336542418314
0.301,400.8188190836066,289.69474370296234
0.302,404.915517175246,290.35405842835206
0.303,409.21632545772144,291.011603182389
0.304,413.0868629119493,291.6673827166714
0.305,417.79753662075444,292.3214017700413
0.306,422.03733295867903,292.973665068619
0.307,425.85295966281114,293.62417732583754
0.308,429.90062369653003,294.2729432424762
0.309,434.1573013268771,294.91996750669466
0.31,437.98812119418943,295.56525479406736
0.311,441.43585907477046,296.2088097676162
0.312,445.1526031672934,296.8506370778457
0.313,448.4974828505641,297.4907413627751
0.314,451.50787456550773,298.12912724797303
0.315,454.83082710895695,298.76579934659026
0.316,458.4352643980613,299.4007622593935
0.317,461.0654779582552,300.0340205747982
0.318,464.0464501624298,300.665578868902
0.319,466.7289451461868,301.2954417055178
0.32,469.75697063156815,301.92361363620654
0.321,472.48258356841137,302.5500992003103
0.322,474.9352452115703,303.1749029249849
0.323,477.1426406904134,303.7980293252328
0.324,479.742706621372,304.4194829039358
0.325,481.46974595923484,305.0392681518871
0.326,483.6371013633114,305.6573895478244
0.327,484.97431122698026,306.27385155846173
0.328,486.7915901042823,306.88865863852226
0.329,489.0405410938541,307.5018152307698
0.33,490.4511969844687,308.1133257660415
0.331,491.7204072860218,308.7231946632795
0.332,493.4768565574196,309.33142632956327
0.333,495.05728090167764,309.93802516014097
0.334,496.4796628115099,310.54299553846147
0.335,497.75980653035896,311.1463418362062
0.336,498.91193587732306,311.74806841332025
0.337,500.5626422895907,312.3481796180445
0.338,502.0478980606317,312.9466797869462
0.339,502.7712182545686,313.5435732449515
0.34,503.4222064291118,314.1388643053754
0.341,504.6218857862006,314.7325572699539
0.342,505.08780720758057,315.3246564288745
0.343,506.12092648682244,315.91516606080756
0.344,507.0503538381402,316.50409043293723
0.345,507.8872184543262,317.09143380099175
0.346,508.6403966088936,317.6772004092749
0.347,509.31787694800425,318.26139449069626
0.348,510.5413892532039,318.844020266802
0.349,511.0291503278835,319.42508194780504
0.35,512.0815352950951,320.00458373261597
0.351,512.4152817655856,320.58252980887306
0.352,513.3290535890271,321.1589243529726
0.353,513.5380482301244,321.733771530099
0.354,513.725763407112,322.3070754942552
0.355,514.5084870664008,322.87884038829225
0.356,515.2129383597606,323.4490703439395
0.357,515.2335445237845,324.0177694818345
0.358,515.865490071406,324.5849419115526
0.359,516.4342410642655,325.15059173163684
0.36,516.332716957839,325.7147230296273
0.361,517.4681552620551,326.277339882091
0.362,517.8770197358497,326.83844635465096
0.363,518.2446177622647,327.3980465020161
0.364,518.5754559860383,327.9561443680097
0.365,518.8732103874344,328.5127439855998
